"id","agent","alpha","gamma","epsilon","training_index","train_performance","test_performance","num_states_visited","avg_visits_per_state","avg_score","avg_guesses","training_delta_raw","training_delta_rms"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","0","0.8940092165898618","0.9100346020761245","221","43.737556561085974","-5.168685121107266","4.513840830449827","363.73816591715786","2.6712505489845864"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","1","0.8974654377880185","0.8598615916955017","230","42.61739130434783","-6.3157439446366785","4.737024221453288","185.92899379442702","1.0556935507589398"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","2","0.8963133640552995","0.9134948096885813","232","41.83620689655172","-4.901384083044983","4.387543252595155","136.17960004980222","0.6549460934231228"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","3","0.9158986175115207","0.9117647058823529","234","40.81623931623932","-4.883217993079585","4.4411764705882355","116.2182162813049","0.5161919421899611"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","4","0.9049539170506913","0.9134948096885813","235","41.01702127659574","-5.11159169550173","4.458477508650519","101.34569105558658","0.44256312382139174"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","5","0.9107142857142857","0.9221453287197232","236","40.67372881355932","-4.841695501730104","4.420415224913495","96.84142164097456","0.42230016956942634"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","6","0.907258064516129","0.916955017301038","236","40.44491525423729","-5.018166089965398","4.439446366782007","84.74600770694039","0.3529927098286146"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","7","0.8951612903225806","0.9273356401384083","236","40.983050847457626","-4.959342560553633","4.430795847750865","87.19866080865411","0.36740983280978295"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","8","0.9014976958525346","0.8927335640138409","236","40.605932203389834","-5.78719723183391","4.659169550173011","85.58030396111896","0.3713703256551863"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","9","0.9118663594470046","0.9100346020761245","237","40.219409282700425","-5.029411764705882","4.472318339100346","78.77837992529187","0.3693897949005479"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","10","0.9124423963133641","0.8961937716262975","237","39.822784810126585","-5.182525951557094","4.477508650519031","80.69919834386236","0.3610045068919259"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","11","0.8980414746543779","0.9204152249134948","237","40.56962025316456","-4.6600346020761245","4.368512110726644","79.73288526150533","0.3579456605017359"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","12","0.8991935483870968","0.8910034602076125","237","40.50210970464135","-5.900519031141869","4.66955017301038","82.49455041200862","0.3626634281502595"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","13","0.9049539170506913","0.8996539792387543","237","40.50632911392405","-5.166089965397924","4.472318339100346","88.7123175779443","0.3743794729967503"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","14","0.8922811059907834","0.9204152249134948","237","40.70886075949367","-4.916089965397924","4.411764705882353","85.45722259683602","0.34451730409438186"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","15","0.9066820276497696","0.9307958477508651","237","40.48945147679325","-4.759515570934256","4.396193771626297","74.28629068906443","0.3345213897766444"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","16","0.9089861751152074","0.9083044982698962","237","40.57805907172996","-5.234429065743945","4.493079584775087","75.83651696415781","0.3251191243836138"
