"id","agent","alpha","gamma","epsilon","training_index","test_performance","num_states_visited","avg_visits_per_state","avg_score","avg_guesses","training_delta_raw","training_delta_rms"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","13","0.8823529411764706","237","40.49367088607595","-6.012975778546712","4.678200692041522","77.1091023903826","0.29493067590485345"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","14","0.8927335640138409","237","40.50632911392405","-5.1842560553633215","4.508650519031142","74.30094752333913","0.3614616351044767"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","15","0.889273356401384","237","40.67932489451477","-5.758650519031142","4.660899653979238","71.25526231337183","0.3691615681344977"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","16","0.9204152249134948","237","40.24894514767932","-5.044982698961937","4.486159169550173","81.59304544007134","0.3757539095306065"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","17","0.8910034602076125","237","40.70042194092827","-5.884948096885813","4.6055363321799305","75.80125794820069","0.36107412191817456"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","18","0.8996539792387543","238","40.88655462184874","-5.72318339100346","4.6055363321799305","80.80976022863686","0.35389944583154087"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","19","0.9325259515570934","239","40.04602510460251","-4.807093425605537","4.465397923875432","75.63370536515811","0.33200956513515034"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","20","0.9117647058823529","239","39.69874476987448","-5.077854671280277","4.474048442906574","71.77266181612306","0.3180909356059635"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","21","0.9204152249134948","239","39.87029288702929","-4.922145328719723","4.484429065743945","68.17674078734835","0.316235686766345"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","22","0.8875432525951558","239","39.84518828451883","-5.911764705882353","4.617647058823529","72.64841899323821","0.33706164822538076"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","23","0.9083044982698962","239","39.97489539748954","-5.143598615916955","4.531141868512111","69.47708756223618","0.3310188225773508"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","24","0.8737024221453287","239","40.04602510460251","-6.094290657439446","4.742214532871972","66.64687690493234","0.3053386667311028"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","25","0.884083044982699","239","40.10460251046025","-6.013840830449827","4.655709342560554","75.07911282217646","0.3228045413604656"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","26","0.9083044982698962","239","40.40167364016737","-4.928200692041522","4.408304498269896","71.57500873945126","0.33726336718591193"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","27","0.9411764705882353","239","40.26778242677824","-4.6366782006920415","4.356401384083045","69.75611706790103","0.3128748648175164"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","28","0.9083044982698962","239","40.43514644351465","-5.008650519031142","4.444636678200692","71.96458495574761","0.32547624800093666"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","29","0.9204152249134948","239","40.42259414225941","-4.949826989619377","4.496539792387543","80.98605776194869","0.34699311540933914"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","30","0.9273356401384083","239","40.09205020920502","-4.795847750865052","4.430795847750865","75.86678880074176","0.3658541841822136"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","31","0.8979238754325259","239","40.41841004184101","-5.854671280276817","4.633217993079585","76.78915855277569","0.3709393376152707"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","32","0.8961937716262975","239","40.37656903765691","-4.948096885813149","4.416955017301038","74.65827148154261","0.3197835264869796"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","33","0.9221453287197232","239","40.72803347280335","-4.961072664359862","4.4809688581314875","72.20799690607723","0.3506586888995271"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","34","0.8927335640138409","239","40.64016736401673","-5.243079584775087","4.494809688581315","82.263777728867","0.3522450603603409"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","35","0.8685121107266436","239","40.62761506276151","-6.045847750865052","4.688581314878893","76.64094466514412","0.34076312952994137"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","36","0.903114186851211","239","40.23849372384937","-5.215397923875432","4.538062283737024","73.70006142584704","0.3592603037788729"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","37","0.9134948096885813","239","40.27196652719665","-4.999134948096886","4.4809688581314875","77.81622265050666","0.3549601284342485"
